No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
592,CEVA,Technology,Semiconductors,USA,478970000.0,-999,67.21,-999,4.26,1.87,5.59,-999,0.1477,0.0,0.8585,0.0121,4.76,-0.0452,6.67,0.03,-0.122,-0.0741,-0.4398,0.2411,-0.7578,6.0103,20.33,0.0,False,True
598,MOS,Basic Materials,Agricultural Inputs,USA,10500000000.0,8.24,9.73,-999,0.7,0.88,1.81,-999,0.2187,0.0,0.8473,-0.0193,0.72,0.112,0.58,0.32,0.088,-0.0885,-0.438,0.0252,-0.797,4.6951,32.12,0.0,False,True
600,PACK,Consumer Cyclical,Packaging & Containers,USA,383310000.0,-999,-999,-999,1.18,0.66,0.63,-3.7924,0.0626,0.0182,0.8653,-0.0538,2.67,-0.0422,2.28,0.72,-0.0772,-0.0166,-0.4369,0.7643,-0.892,0.7643,4.64,550472.0,True,False
610,LXU,Basic Materials,Chemicals,USA,619250000.0,6.58,7.99,-999,0.89,1.16,4.27,-999,0.283,0.0,0.5502,-0.4055,3.47,0.1873,3.72,1.14,0.1427,-0.0426,-0.4337,0.1411,-0.7799,27.8773,8.33,0.0,False,True
613,ICL,Basic Materials,Agricultural Inputs,Israel,6000000000.0,6.59,10.86,-999,0.76,1.06,0.36,0.4205,0.1811,0.0,0.3171,-999,1.21,0.166,0.97,0.45,0.1155,-0.0586,-0.4315,0.0814,-0.813,0.8012,4.65,0.0,False,True
614,EPM,Energy,Oil & Gas E&P,USA,192220000.0,7.5,7.62,-999,1.76,2.14,0.28,0.1205,0.4721,0.0,0.6343,-0.029,2.97,0.296,1.69,0.0,0.2332,-0.0204,-0.4313,0.0668,-0.9998,34.9375,5.75,0.0,False,True
615,IVAC,Industrials,Specialty Industrial Machinery,USA,113130000.0,-999,-999,-999,2.22,0.97,2.34,-999,-0.1773,0.0,0.7631,-0.0034,9.04,-0.116,2.64,0.02,-0.2648,0.036,-0.431,0.3974,-0.8612,1.3189,4.29,0.0,False,True
622,MX,Technology,Semiconductors,South Korea,259300000.0,-999,-999,-999,1.05,0.75,4.3,-999,-0.1665,0.0235,0.7558,-0.0038,1.98,-0.072,5.12,0.01,-0.1123,-0.0507,-0.4272,0.0356,-0.752,1.1581,6.69,310924.0,True,True
623,CINT,Technology,Software - Infrastructure,Brazil,604380000.0,18.98,14.22,-999,1.32,2.11,0.35,-999,0.3688,0.0,0.1184,-0.0026,4.72,0.1341,1.6,0.62,0.0718,-0.1018,-0.4271,0.3654,-0.7973,0.3654,4.56,0.0,False,False
628,TELA,Healthcare,Medical Devices,USA,171190000.0,-999,-999,-999,3.23,5.6,2.38,-0.0237,0.5174,0.0032,0.6238,0.1728,4.59,-1.6249,4.43,1.33,-0.8243,0.1631,-0.4261,0.6506,-0.7031,0.6506,6.99,109602.0,True,False
631,SOHU,Communication Services,Electronic Gaming & Multimedia,China,334700000.0,-999,-999,-999,0.54,0.31,27.67,0.4892,-0.1307,0.0,0.3552,-0.0533,1.2,-0.0556,3.07,0.0,-0.0973,0.0629,-0.4249,0.2718,-0.9093,18.0769,9.92,0.0,False,True
632,ZIM,Industrials,Marine Shipping,Israel,1740000000.0,-999,-999,-999,0.28,0.68,15.23,-999,0.5211,0.0,0.1907,-0.1268,3.66,-0.5092,0.98,1.85,-0.3471,0.4394,-0.4248,1.2613,-0.8416,1.2613,14.45,0.0,False,True
633,API,Technology,Software - Application,China,219010000.0,-999,-999,-999,1.45,0.35,2.6,-0.2656,0.4406,0.0,0.2981,-0.0534,6.11,-0.1737,4.63,0.01,-0.8239,0.0366,-0.4247,0.1772,-0.9757,0.1772,2.79,-569864548.0,False,False
638,OSPN,Technology,Software - Infrastructure,USA,442780000.0,-999,11.84,-999,1.94,2.49,1.74,0.0857,0.0151,0.0013,0.9081,0.0057,2.53,-0.1791,1.43,0.03,-0.1457,0.0728,-0.4234,0.4529,-0.7492,49.4545,11.1,57334.0,False,True
641,BYON,Consumer Cyclical,Internet Retail,USA,1030000000.0,-999,-999,-999,0.65,1.99,7.18,0.2858,0.0788,0.2798,0.6941,-0.1173,3.12,-0.2743,1.74,0.08,-0.1034,-0.0047,-0.422,0.6557,-0.8233,7.9723,22.7,2951163.0,True,True
646,KODK,Industrials,Specialty Business Services,USA,292740000.0,5.82,-999,-999,0.26,0.31,3.21,-0.3797,-0.0172,0.0003,0.4476,-0.0261,7.82,0.0679,1.75,0.42,0.0506,-0.0134,-0.4197,0.1609,-0.9387,1.4533,3.68,22200.0,False,True
