No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1372,DALN,-999,Communication Services,Publishing,USA,20120000.0,-999,-999,-999,0.15,11.86,1.09,-999,3.44,0.1277,-999,-999,-999,-999,0.2221,-999,-0.0697,-0.1165,0.481,0.1836,0.0,0.2506,-0.055,0.0201,-1.1069,-0.324,1.51,1.44,9.62,10.72,-0.0521,-0.0431,0.0135,-0.0079,-0.0208,-0.0553,0.69,-0.0036,-0.267,0.093,-0.9165,1.8739,May 14/a,3.76
1373,DAN,RUT,Consumer Cyclical,Auto Parts,USA,2030000000.0,156.06,9.36,3.96,0.19,1.32,5.41,21.87,2.59,0.0286,1.5221,0.3,0.0842,0.6451,-0.382,0.3938,0.0633,0.0344,-0.8933,0.0093,-0.0032,0.9898,-0.0057,0.0436,0.0083,0.003,1.6,0.97,1.85,1.91,0.0823,0.0012,0.0447,0.1682,0.0377,0.0324,2.43,0.1143,-0.2896,0.2645,-0.6022,72.8421,Apr 30/b,14.03
1374,DAO,-999,Consumer Defensive,Education & Training Services,China,114270000.0,-999,34.62,-999,0.15,-999,1.54,-999,2.41,-999,-999,-0.05,0.844,2.0947,-0.1478,-999,0.513,0.0024,3.6691,0.0841,0.0,0.4207,-0.0063,0.0134,-999,-999,0.41,0.34,-999,-999,0.5132,-0.1039,-0.0313,0.0392,-0.1167,-0.2668,-0.04,-0.0442,-0.3425,0.2619,-0.9222,0.2619,May 23/b,3.71
1375,DAR,-999,Consumer Defensive,Packaged Foods,USA,6940000000.0,12.97,10.55,1.3,1.09,1.51,46.4,15.89,0.94,-999,0.0,0.74,-0.2708,0.4145,0.4584,0.1,0.1582,-0.2075,-0.5607,0.0117,0.0092,1.0026,0.0051,0.0631,0.1259,0.0596,1.67,0.96,0.98,1.02,0.1521,0.0851,-0.063,0.0546,0.0192,-0.3122,1.28,-0.0212,-0.3934,0.1146,-0.5042,172.72,Apr 25/b,43.43
1376,DASH,NDX,Communication Services,Internet Content & Information,USA,48020000000.0,-999,87.73,-999,5.27,6.85,10.69,31.59,10.98,-999,-999,-0.09,1.1262,6.4699,-0.1686,-999,1.1309,0.2349,0.8625,0.286,-0.0194,0.6441,-0.0077,0.0424,-0.0621,-0.0561,1.62,1.62,0.07,0.08,0.4099,-0.0461,0.0226,-0.0974,0.0122,0.8005,1.69,-0.0942,-0.1808,0.869,-0.5435,1.8389,May 01/a,117.43
1377,DATS,-999,Technology,Software - Application,USA,4090000.0,-999,-999,-999,-999,0.6,0.67,-999,2.02,-999,-999,-999,-999,-999,-0.0218,-999,2.1028,-0.1494,0.6517,0.0914,0.0,0.0144,-999,0.0421,-0.8143,-1.0441,14.07,14.07,0.0,0.01,-141.6487,-999,-0.1966,0.1039,-0.0301,-0.6159,2.38,-0.0039,-0.8401,0.2572,-0.9927,0.2572,-999,1.36
1378,DAVA,-999,Technology,Software - Infrastructure,United Kingdom,1210000000.0,20.0,14.52,3.61,1.27,1.53,4.78,9.39,6.06,-999,0.0,0.23,-0.4997,0.3821,0.3262,0.0554,0.273,-0.0541,-0.4186,-999,-999,0.7622,0.0087,0.0154,0.1203,0.0995,3.33,3.33,0.07,0.1,0.2707,0.0888,-0.0489,-0.0448,-0.5678,-0.4173,1.23,-0.1347,-0.6422,0.0003,-0.8318,0.3725,May 23/b,29.0
1379,DAVE,-999,Technology,Software - Application,USA,617390000.0,-999,-999,-999,2.25,4.83,6.19,10.54,8.05,-999,-999,-0.24,1.5111,-1.1058,-999,-999,0.3018,0.2495,3.1884,0.4837,-0.0861,0.1718,-0.6324,0.1078,-0.002,-0.0011,7.47,7.47,0.59,0.6,0.5451,-0.0008,0.0151,0.4609,0.9092,9.6021,2.99,0.2446,-0.2153,10.098,-0.8985,10.1556,May 07/b,49.83
1380,DAWN,RUT,Healthcare,Biotechnology,USA,1410000000.0,-999,-999,-999,-999,4.76,4.44,-999,3.64,-999,-999,-0.75,-0.1905,0.2421,-0.8459,-999,0.0,-999,-0.2224,0.3065,-0.0093,0.7318,0.0205,0.1847,-0.6997,-0.7039,10.93,10.93,0.0,0.0,-999,-999,0.0106,0.0267,0.0548,0.2259,-1.46,0.0497,-0.1051,0.6722,-0.4366,1.9724,May 06/a,16.17
1381,DAY,S&P 500,Technology,Software - Application,USA,10000000000.0,194.2,31.37,8.88,6.35,4.11,25.43,96.71,2.49,-999,0.0,0.36,0.0786,0.2396,-999,0.2186,0.1564,0.1643,-0.293,0.025,-0.015,1.101,-0.031,0.0667,0.0225,0.0142,1.07,1.07,0.5,0.51,0.5172,0.033,0.0433,0.039,-0.1355,0.0423,1.3,0.0051,-0.1615,0.1674,-0.5142,1.2105,May 01/b,63.33
1382,DB,-999,Financial,Banks - Regional,Germany,33720000000.0,7.27,6.09,-999,0.5,0.48,-999,-999,-999,0.0415,0.2159,0.65,0.0778,0.1843,0.7175,-0.014,0.098,0.2495,0.143,0.0667,0.0,0.3062,-999,0.0047,0.0705,0.025,5.58,-999,1.78,1.95,-999,0.0722,-0.0035,0.081,0.3271,0.6113,1.25,0.0716,-0.0487,0.7393,-0.8617,2.4228,Apr 25/b,17.08
1383,DBD,-999,Technology,Software - Application,USA,3560000000.0,0.92,7.94,0.31,0.94,1.65,8.75,-999,5.09,-999,0.0,1.05,-0.7293,0.0851,-999,0.03,-0.0356,0.0435,0.7226,0.0238,-0.1878,0.5396,-0.195,0.0043,-999,0.6855,1.39,0.94,1.1,1.1,0.2348,0.3832,0.0863,0.3893,0.3244,-999,-999,0.27,0.0228,1.6994,0.0228,1.6994,May 02/b,44.54
1384,DBGI,-999,Consumer Cyclical,Apparel Retail,USA,4440000.0,-999,-999,-999,0.28,1.81,221.85,-999,0.01,-999,-999,-999,-999,-999,0.5529,-999,0.3775,-0.1736,0.9829,0.0004,0.0,0.0015,-0.469,0.01,-999,-4.9773,0.24,0.03,0.09,5.42,0.2392,-0.5579,0.1422,-0.1182,-0.499,-0.8892,1.28,-0.215,-0.9015,0.1549,-0.9999,0.1549,May 20/b,2.61
