No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
1825,GT,RUT,Consumer Cyclical,Auto Parts,USA,3500000000.0,-999.0,6.39,-999.0,0.17,0.75,3.55,-999.0,3.47,0.0012,0.0,-0.02,5.2683,0.4633,-999.0,-999.0,0.0888,-0.048,-1.7775,0.0066,0.009,0.8497,-0.0118,0.0495,-0.1382,-0.0559,1.07,0.55,1.64,1.85,0.1745,-0.0343,-0.0854,-0.1163,-0.1232,0.0415,1.86,-0.1151,-0.2542,0.2491,-0.8396,2.8833,Feb 12/a,12.31,155870.0,True,True,3
1469,FARO,RUT,Technology,Scientific & Technical Instruments,USA,429030000.0,-999.0,37.28,-999.0,1.18,1.66,5.37,-999.0,4.22,-999.0,-999.0,0.21,-2.1,3.2082,-0.1092,0.3,-0.0307,0.0174,-0.3604,0.0384,0.043,0.9768,-0.0238,0.0785,-0.2163,-0.176,2.31,1.93,0.32,0.34,0.4555,-0.166,-0.0161,0.1153,0.2094,-0.2286,1.42,0.0525,-0.2596,1.1981,-0.7687,20.3585,Feb 27/a,22.64,514826.0,True,True,3
2430,LSAK,-999,Technology,Software - Infrastructure,South Africa,224610000.0,-999.0,-999.0,-999.0,0.41,1.28,3.31,-999.0,1.09,-999.0,-999.0,-0.03,0.4318,0.5714,-999.0,0.15,0.2239,0.0575,0.5996,0.322,0.0163,0.2433,0.0113,0.0019,-0.0898,-0.0616,1.58,1.36,0.55,0.7,0.1713,-0.0455,-0.0625,0.0286,-0.1176,-0.207,1.02,0.0352,-0.2638,0.2,-0.9439,0.3334,Feb 06/a,3.6,1064171.0,True,False,4
1795,GPMT,RUT,Real Estate,REIT - Mortgage,USA,242940000.0,-999.0,8.17,-999.0,0.91,0.28,1.22,3.78,3.86,0.1507,-999.0,-0.0,-0.3081,2.3353,-999.0,0.0491,0.1174,0.0493,-0.7736,0.0216,0.0272,0.5313,-0.0003,0.013,-0.0695,-0.0279,-999.0,-999.0,2.27,2.27,0.9576,-0.2945,-0.0907,-0.1544,-0.071,-0.2366,1.85,-0.1746,-0.2646,0.1864,-0.7547,1.7756,Feb 14/a,4.71,141951.0,True,True,3
2602,MMLP,-999,Energy,Oil & Gas Midstream,USA,94160000.0,-999.0,10.52,-999.0,0.12,-999.0,1883.24,0.96,0.0,0.0083,-999.0,0.07,2.0,1.0909,-999.0,0.036,-0.0251,-0.2559,-999.0,0.2758,0.0381,0.3537,0.0113,0.0052,-999.0,-0.0111,1.14,0.7,-999.0,-999.0,0.1878,-0.0056,0.0901,0.0661,-0.0584,-0.1281,2.15,0.0171,-0.2667,0.241,-0.9505,1.674,Feb 14/a,2.42,1023842.0,True,False,3
2638,MPAA,-999,Consumer Cyclical,Auto Parts,USA,193260000.0,-999.0,17.55,-999.0,0.27,0.69,13.46,4.48,0.73,-999.0,-999.0,0.16,-0.375,0.4,-999.0,0.25,0.0996,0.132,-46.979,0.0448,0.1911,0.8363,0.0097,0.0383,-0.1646,-0.1258,1.4,0.39,0.39,0.83,0.1986,-0.0679,0.143,0.0731,0.107,-0.2702,1.47,0.0559,-0.2753,1.3075,-0.7604,23.1969,Feb 09/b,9.83,1069583.0,True,True,4
2842,NOTV,-999,Healthcare,Diagnostics & Research,USA,154220000.0,-999.0,-999.0,-999.0,0.26,0.61,7.01,38.17,0.85,-999.0,-999.0,-0.34,0.8976,0.3333,-1.8424,-999.0,1.3362,0.1038,0.8249,0.1129,0.0212,0.1883,-0.0915,0.0454,-0.1241,-0.0501,1.74,1.15,1.61,1.69,0.2343,-0.0567,0.2056,0.7384,1.7431,-0.2478,2.96,0.6106,-0.2778,2.7143,-0.9014,8.9667,Feb 07/a,5.98,163981.0,True,True,4
313,ASAN,RUT,Technology,Software - Application,USA,4210000000.0,-999.0,-999.0,-999.0,6.67,12.67,7.95,-999.0,2.38,-999.0,-999.0,-0.1,0.7506,0.2421,-0.5876,-999.0,0.6406,0.1772,0.4353,0.6493,0.0476,0.2615,0.0614,0.1211,-0.7967,-0.485,1.82,1.82,0.8,0.85,0.9022,-0.4586,-0.0454,0.0701,-0.1117,0.1181,1.26,0.0057,-0.2794,0.3219,-0.8702,0.6723,Mar 11/a,18.93,107019463.0,True,False,4
562,BLFS,RUT,Healthcare,Medical Instruments & Supplies,USA,795130000.0,-999.0,-999.0,-999.0,5.14,2.33,19.37,-999.0,0.91,-999.0,-999.0,-0.34,0.5243,0.4185,-0.7411,0.1,0.7447,-0.1821,-1.8634,0.0399,0.8571,1.0158,0.052,0.0837,-0.2762,-0.2779,2.74,1.72,0.11,0.13,0.2955,-0.6604,-0.0536,0.0364,0.4303,-0.254,1.68,0.0749,-0.2796,0.9787,-0.9872,125.0714,Nov 09/a,17.65,9343905.0,True,True,4
3022,ORC,RUT,Real Estate,REIT - Mortgage,USA,431710000.0,-999.0,41.8,-999.0,2.04,0.92,2.16,9.08,3.88,0.1722,-999.0,-0.16,0.566,1.4348,0.2705,-999.0,0.143,1.705,-0.4551,0.0033,0.3588,0.339,0.2362,0.0662,-0.0863,-0.084,-999.0,-999.0,0.0,7.89,0.9394,-0.1854,0.0146,-0.0199,0.166,-0.2793,1.8,0.0017,-0.2921,0.4169,-0.8729,0.4169,Feb 01/a,8.36,346751.0,True,True,4
