No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
2646,MQ,Technology,Software - Infrastructure,USA,3160000000.0,-999.0,-999.0,-999.0,4.15,2.46,2.5,-999.0,0.7515,0.0014,0.5715,-0.0426,2.97,-0.1488,4.72,0.01,-0.2745,-0.052,-0.1944,0.7486,-0.8404,0.7486,6.05,1042722.0,True,False,4
1298,EGLE,Industrials,Marine Shipping,USA,536220000.0,24.16,11.05,-999.0,1.22,0.84,11.47,-999.0,0.3139,0.0,0.5152,-0.0911,4.32,0.0555,0.73,0.85,0.0893,0.0487,-0.1951,0.3793,-1.0,5.0742,54.0,589.0,False,True,4
3335,QTRX,Healthcare,Medical Devices,USA,873870000.0,-999.0,-999.0,-999.0,7.49,2.47,8.66,0.2063,0.3161,0.0054,0.8875,-0.0741,1.87,-0.1061,10.27,0.12,-0.3303,-0.0617,-0.1974,1.3054,-0.7505,2.6609,23.1,475068.0,True,False,5
1046,CTRN,Consumer Cyclical,Apparel Retail,USA,238860000.0,-999.0,-999.0,-999.0,0.32,1.56,6.99,0.474,0.0214,1.1063,0.9979,-0.0966,12.32,-0.0571,0.48,1.59,-0.012,0.0645,-0.1995,0.969,-0.749,3.1746,27.97,10042378.0,True,True,3
3977,TRIP,Consumer Cyclical,Travel Services,USA,3020000000.0,-999.0,14.13,-999.0,1.72,3.67,8.15,-999.0,0.1252,0.0,0.7525,0.0435,2.17,-0.0306,1.95,1.11,-0.0143,0.0912,-0.1996,0.5442,-0.7791,0.592,21.85,0.0,False,True,3
2423,LPTH,Technology,Electronic Components,USA,60060000.0,-999.0,-999.0,-999.0,1.79,1.72,0.18,-999.0,0.0049,0.0,0.4601,-0.0113,1.61,-0.128,1.46,0.37,-0.1191,0.25,-0.2,0.4286,-0.9971,4.3333,1.6,0.0,False,True,4
2114,INVE,Technology,Computer Hardware,USA,178870000.0,-999.0,-999.0,-999.0,1.54,2.39,0.9,0.3505,0.0979,0.0,0.5592,-0.0115,2.93,-0.0477,1.64,0.21,-0.0412,0.0172,-0.2012,0.6356,-0.9941,4.5536,7.72,0.0,False,True,5
3525,SAR,Financial,Asset Management,USA,314710000.0,11.91,6.35,-999.0,2.27,0.84,3.44,-0.068,0.207,0.0,0.203,-0.0362,0.53,0.065,-999.0,2.26,0.164,-0.0813,-0.2016,0.0186,-0.7599,2.9851,23.05,0.0,False,True,4
1667,GAIA,Communication Services,Entertainment,USA,67650000.0,-999.0,-999.0,-999.0,0.85,0.72,0.49,0.3725,0.1862,0.0194,0.2634,0.0571,0.86,-0.0489,0.49,0.26,-0.0551,0.0519,-0.2033,0.3934,-0.9043,0.4341,2.94,378729.0,True,True,5
4060,UCBI,Financial,Banks - Regional,USA,3250000000.0,17.68,11.47,17.68,2.48,1.02,-999.0,-0.0579,0.1813,0.0,0.8414,0.0082,4.35,0.0626,-999.0,0.1,0.1375,-0.0229,-0.2055,0.3417,-0.8376,3.9691,27.33,0.0,False,True,4
