No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
3654,SLGN,Consumer Cyclical,Packaging & Containers,USA,4780000000.0,15.04,11.27,3.01,0.8,2.68,6.04,0.0823,0.0644,-0.0051,0.6841,0.0076,4.39,0.1807,0.98,1.81,0.0544,0.0211,-0.1835,0.1766,-0.1908,67.3276,44.84
3655,SLI,Basic Materials,Other Industrial Metals & Mining,Canada,245450000.0,-999,-999,-999,-999,2.2,0.07,-0.1508,0.0,0.0,0.202,-999,5.5,-0.3317,1.51,0.01,-999,-0.1962,-0.709,0.2759,-0.8901,3.8103,1.42
3656,SLM,Financial,Credit Services,USA,4430000000.0,8.18,6.74,0.28,1.54,2.65,18.34,0.1756,0.0918,-0.0037,0.9724,-0.0529,4.95,0.3223,-999,2.78,0.1961,0.0711,-0.0488,0.8131,-0.0841,68.3996,19.6
3657,SLN,Healthcare,Biotechnology,United Kingdom,852290000.0,-999,-999,-999,24.81,34.92,1.86,-0.7711,5.816,0.0,0.4272,-999,0.82,-1.6638,4.86,0.02,-1.514,0.2649,-0.0941,3.8493,-0.3703,3.8493,22.04
3658,SLNO,Healthcare,Biotechnology,USA,1500000000.0,-999,-999,-999,-999,32.86,1.72,0.3536,0.0,0.0486,0.4886,-0.0105,4.34,-1.7271,1.85,0.02,-999,0.2257,-0.0249,26.2541,-0.9336,57.0353,49.33
3659,SLP,Healthcare,Health Information Services,USA,828360000.0,79.33,51.85,5.29,13.34,4.81,5.7,-0.0055,0.1504,-0.0421,0.7902,0.0369,12.13,0.0605,15.1,0.01,0.1716,0.0291,-0.2128,0.2689,-0.5438,293.9689,41.48
3660,SLQT,Financial,Insurance Brokers,USA,239850000.0,-999,-999,-999,0.21,0.72,0.06,-999,0.3806,0.0189,0.3501,0.0171,1.96,-0.1399,2.11,2.15,-0.0433,0.1251,-0.5136,0.6724,-0.9567,1.8039,1.43
3661,SLRC,Financial,Asset Management,USA,809590000.0,11.16,8.58,-999,3.62,0.82,-999,-0.0199,-999,0.0263,0.2992,-999,1.06,-999,-999,-999,-999,-0.0223,-0.0774,0.1009,-0.4281,1.0,14.84
3662,SLRN,Healthcare,Biotechnology,USA,778890000.0,-999,-999,-999,-999,1.06,8.11,-999,0.0,-0.0003,0.687,-999,5.25,-999,11.88,0.0,-999,0.1156,-0.7319,0.4053,-0.7319,0.4053,8.01
3663,SLVM,Basic Materials,Paper & Paper Products,USA,1930000000.0,6.74,9.49,0.16,0.52,2.31,6.12,-0.2727,-0.0132,0.0,0.7671,0.1076,1.85,0.5338,1.08,1.25,0.0805,-0.049,-0.1206,0.2461,-0.1837,1.0277,46.52
3664,SM,Energy,Oil & Gas E&P,USA,4290000000.0,5.39,6.74,0.67,1.76,1.26,3.46,-999,0.3216,-0.0392,0.9228,-0.0076,5.99,0.2644,1.17,0.46,0.3403,-0.0073,-0.1562,0.4964,-0.6074,40.0,36.9
3665,SMAR,Technology,Software - Application,USA,6530000000.0,-999,51.37,-999,7.15,11.66,4.18,-0.2547,0.4421,-0.0407,0.8863,0.0048,1.76,-0.2689,1.32,0.1,-0.1515,0.0442,-0.0926,0.292,-0.4405,1.6534,47.92
3666,SMBC,Financial,Banks - Regional,USA,487510000.0,11.24,9.32,-999,1.96,1.04,-999,0.0998,0.1833,0.0003,0.4966,0.013,2.61,0.1068,-999,0.29,0.1731,-0.1128,-0.2247,0.4197,-0.3058,19.2306,42.99
3667,SMBK,Financial,Banks - Regional,USA,373780000.0,12.97,9.85,-999,1.56,0.81,-999,0.0317,0.1965,-0.0056,0.5068,-0.0036,1.83,0.0641,-999,0.12,0.1194,-0.0598,-0.2143,0.1665,-0.6672,6.3333,22.0
3668,SMCI,Technology,Computer Hardware,USA,41400000000.0,57.86,26.52,1.2,4.47,13.45,12.97,0.6682,0.1785,-0.02,0.6625,0.0232,0.89,0.2992,1.19,0.12,0.0792,1.003,0.0361,7.6472,0.0361,202.9366,740.29
3669,SMG,Basic Materials,Agricultural Inputs,USA,3160000000.0,-999,14.45,-999,0.92,-999,0.18,-999,0.0775,-0.016,0.7238,0.0269,4.94,-0.4764,0.67,-999,-0.1152,-0.067,-0.3705,0.2773,-0.7807,9.2298,55.78
3670,SMHI,Industrials,Marine Shipping,USA,281380000.0,-999,-999,-999,1.08,0.77,2.16,-0.0755,0.0366,-0.0224,0.5651,-0.0166,2.43,-0.0753,1.67,0.89,-0.109,-0.1021,-0.3202,0.4716,-0.6592,6.0959,10.36
3671,SMID,Basic Materials,Building Materials,USA,224230000.0,401.79,-999,-999,3.89,6.63,1.11,-0.2203,0.0612,0.0,0.4657,-0.0481,1.34,0.017,1.99,0.18,0.0098,0.109,-0.0807,2.045,-0.1117,130.3996,42.63
3672,SMLP,Energy,Oil & Gas Midstream,USA,174800000.0,-999,-999,-999,0.42,0.27,1.82,-999,-0.073,-0.0119,0.4688,-0.0269,1.27,-0.054,0.71,1.69,-0.1725,-0.041,-0.2131,0.2954,-0.9801,1.2453,16.84
3673,SMLR,Healthcare,Medical Devices,USA,326940000.0,19.13,11.02,-999,4.89,4.52,8.16,-999,0.2864,0.0513,0.5535,0.4029,3.29,0.318,7.45,0.0,0.2926,0.0731,-0.0574,1.489,-0.6894,41.4759,47.59
3674,SMMF,Financial,Banks - Regional,USA,396680000.0,7.06,6.76,0.88,1.51,0.93,-999,0.1102,0.1974,0.0064,0.3127,0.0062,1.58,0.139,-999,0.97,0.2064,-0.0388,-0.1413,0.585,-0.2489,11.8762,27.04
3675,SMP,Consumer Cyclical,Auto Parts,USA,887020000.0,14.04,11.79,2.01,0.64,1.41,1.31,0.1505,0.0602,-0.0028,0.8072,-0.0165,3.44,0.1049,0.7,0.4,0.0469,0.0393,-0.0274,0.354,-0.278,29.0147,40.82
3676,SMPL,Consumer Defensive,Packaged Foods,USA,3510000000.0,26.64,17.58,2.96,2.81,2.18,1.22,0.0673,0.246,-0.0234,0.8711,-0.0512,3.86,0.0868,3.46,0.2,0.1066,-0.1143,-0.1821,0.1323,-0.2316,2.517,35.17
3677,SMR,Industrials,Specialty Industrial Machinery,USA,207310000.0,-999,-999,-999,9.56,1.95,1.53,-999,1.5622,-0.003,0.3763,0.0449,6.93,-0.5005,1.95,0.0,-2.4078,-0.0598,-0.7495,0.4917,-0.8297,0.4917,2.7
3678,SMRT,Technology,Software - Application,USA,613540000.0,-999,362.55,-999,2.83,1.79,1.04,-999,0.8114,0.0022,0.5651,-0.1509,10.25,-0.1453,2.3,0.0,-0.2426,-0.0309,-0.267,0.4014,-0.8005,0.4877,3.02
3679,SMTC,Technology,Semiconductors,USA,1350000000.0,-999,30.97,-999,1.6,4.04,2.12,0.1217,0.0565,-0.0171,1.1936,-0.0141,8.36,-0.8888,1.72,4.2,-0.5937,0.037,-0.3789,0.5994,-0.7788,191.0,21.0
3680,SMWB,Technology,Software - Application,Israel,535770000.0,-999,99.1,-999,2.52,45.04,1.01,0.1563,0.3925,0.0,0.1912,-0.005,1.76,-1.8676,0.7,5.39,-0.1927,0.2708,-0.1187,0.5306,-0.7251,0.6041,7.01
3681,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,7090000000.0,-999,-999,-999,-999,4.66,1.23,-999,0.1756,0.0,0.3259,-999,0.96,-999,1.07,0.58,-999,0.0413,-0.0445,1.0214,-0.0445,1.0214,51.02
3682,SNA,Industrials,Tools & Accessories,USA,13850000000.0,14.0,13.07,3.04,2.71,2.87,18.97,0.0959,0.0486,-0.107,0.8991,-0.0003,7.16,0.2117,2.81,0.25,0.1979,-0.0789,-0.1172,0.1577,-0.1172,46.7145,262.43
