No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
1639,FTK,Energy,Oil & Gas Equipment & Services,USA,87760000.0,-999.0,9.11,-999.0,0.45,0.88,0.15,-0.0527,0.269,0.0793,0.1046,-0.0069,7.84,0.0597,1.27,0.14,0.0185,-0.115,-0.6117,0.0643,-0.991,1.4657,2.96,336549.0,True,False,5
1694,GDOT,Financial,Credit Services,USA,435600000.0,11.92,4.42,0.92,0.29,0.55,14.4,-0.0589,0.0815,0.0,0.9198,-0.0486,4.19,0.046,0.4,0.04,0.0245,-0.0919,-0.6114,0.1377,-0.9107,0.1377,8.31,0.0,False,True,4
3606,SHCR,Healthcare,Health Information Services,USA,366520000.0,-999.0,-999.0,-999.0,0.79,0.81,0.36,-999.0,0.1636,0.0,0.3532,0.2559,9.96,-0.2145,2.43,0.0,-0.2555,0.0207,-0.6112,0.3515,-0.9188,0.3515,1.04,0.0,False,False,5
3643,SKYX,Industrials,Electrical Equipment & Parts,USA,141940000.0,-999.0,-999.0,-999.0,3.88,8.29,0.21,0.3123,-0.6742,0.0,0.1102,2.2751,17.19,-2.1889,0.72,2.14,-0.883,-0.0479,-0.6111,0.2833,-0.9038,0.2833,1.54,0.0,False,False,2
3619,SILC,Technology,Communication Equipment,Israel,108700000.0,-999.0,126.51,-999.0,0.88,0.58,8.13,-999.0,-0.0076,0.0,0.5158,0.026,0.37,-0.0168,6.49,0.03,-0.0238,-0.0732,-0.6055,0.1694,-0.7937,79.4,16.08,0.0,False,True,4
3213,PMTS,Financial,Credit Services,USA,210860000.0,6.47,7.76,0.5,0.45,-999.0,0.91,-999.0,0.1699,0.0,0.2078,0.0182,6.27,-999.0,1.9,-999.0,0.0721,0.0045,-0.5996,0.4545,-0.7274,50.1111,18.4,0.0,False,True,5
2493,MATV,Basic Materials,Specialty Chemicals,USA,630890000.0,-999.0,9.02,-999.0,0.25,0.94,1.56,-999.0,0.2195,0.0067,0.9299,0.8559,1.84,-0.5259,1.36,2.67,-0.1854,-0.1273,-0.5985,0.0798,-0.8168,1.0243,11.64,143860.0,True,True,4
3544,SBSW,Basic Materials,Gold,South Africa,2990000000.0,3.85,7.2,-999.0,0.41,0.58,1.66,-999.0,0.2709,0.0,0.1176,0.057,3.71,0.149,1.72,0.27,0.1071,-0.1417,-0.5962,0.055,-0.7959,1.5582,4.22,0.0,False,True,6
2085,INCR,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,70130000.0,11.71,-999.0,-999.0,0.59,0.51,0.69,-999.0,2.4615,0.0,0.1216,-999.0,2.79,0.0437,1.21,0.32,0.0507,0.181,-0.5961,0.5545,-0.9205,0.5545,1.54,0.0,False,True,5
2311,KVHI,Technology,Communication Equipment,USA,95890000.0,-999.0,-999.0,-999.0,0.7,0.61,3.53,0.118,-0.0205,0.0,0.5567,0.069,7.76,-0.0174,4.01,0.01,-0.0193,-0.025,-0.5959,0.1372,-0.8592,4.5886,4.89,0.0,False,True,5
3629,SJT,Energy,Oil & Gas E&P,USA,211110000.0,2.75,-999.0,-999.0,2.69,75.49,0.08,0.147,0.104,0.0,0.142,0.1346,0.73,-999.0,-999.0,0.0,0.979,-0.1641,-0.5956,0.0365,-0.912,2.2585,4.53,0.0,False,True,5
327,ASPS,Real Estate,Real Estate Services,Luxembourg,73930000.0,-999.0,-999.0,-999.0,0.48,-999.0,1.38,-999.0,-0.3213,0.0059,0.2365,-0.0305,7.73,-999.0,-999.0,-999.0,-0.3538,-0.1658,-0.5951,0.1698,-0.9837,0.1698,2.79,300002.0,True,True,3
9,AAP,Consumer Cyclical,Specialty Retail,USA,3780000000.0,20.35,17.28,-999.0,0.33,1.43,5.34,0.0518,0.0392,0.0164,0.9795,-0.0344,3.11,0.0694,0.27,1.51,0.0165,0.0365,-0.5903,0.3306,-0.7403,4.1509,63.51,580486.0,True,True,3
519,BHR,Real Estate,REIT - Hotel & Motel,USA,142870000.0,-999.0,-999.0,-999.0,0.19,0.42,3.13,-999.0,0.2704,0.0037,0.5781,0.0277,5.52,-0.0142,-999.0,1.49,-0.077,-0.0817,-0.5852,0.1335,-0.906,0.8991,2.16,201226.0,True,True,3
3657,SLQT,Financial,Insurance Brokers,USA,204630000.0,-999.0,-999.0,-999.0,0.18,0.65,0.06,-999.0,0.3806,0.0189,0.3501,0.0171,1.96,-0.1399,2.49,2.15,-0.0433,-0.0401,-0.585,0.4268,-0.963,1.3922,1.22,759170.0,True,True,4
2131,IQ,Communication Services,Entertainment,China,1730000000.0,12.62,6.77,2.81,0.38,1.12,1.38,-999.0,0.0366,0.0,0.5902,0.0438,4.23,0.2184,0.51,1.37,0.0557,-0.2156,-0.5847,0.0842,-0.9282,1.0108,3.32,0.0,False,False,2
1723,GGR,Consumer Cyclical,Auto Manufacturers,Taiwan,509140000.0,-999.0,-999.0,-999.0,1.46,1.95,0.71,-999.0,-0.0134,0.0,0.1322,0.0667,14.2,-0.2811,1.0,1.78,-0.2197,-0.123,-0.583,0.0271,-0.8815,0.0271,2.09,0.0,False,False,1
1130,DDD,Technology,Computer Hardware,USA,657810000.0,-999.0,93.37,-999.0,1.3,0.94,3.34,-0.1021,-0.055,0.024,0.6565,-0.0184,5.2,-0.1335,4.25,0.76,-0.1892,-0.1132,-0.5818,0.4086,-0.9493,8.86,4.93,493400.0,True,True,4
2906,NVRO,Healthcare,Medical Devices,USA,616590000.0,-999.0,-999.0,-999.0,1.46,2.15,8.83,-999.0,0.0136,0.0,1.0725,-0.0155,8.62,-0.3355,5.01,0.7,-0.2422,-0.1155,-0.5809,0.216,-0.9096,0.216,17.0,0.0,False,True,4
3780,STKS,Consumer Cyclical,Restaurants,USA,123830000.0,26.23,9.74,21.85,0.37,1.95,0.71,-999.0,0.4203,0.0,0.4375,-999.0,10.58,0.0791,0.79,3.09,0.0156,-0.2359,-0.5787,0.0645,-0.7591,4.4247,3.96,0.0,False,True,2
3432,RMAX,Real Estate,Real Estate Services,USA,179300000.0,-999.0,7.33,-999.0,0.54,0.43,6.62,-0.109,0.1453,0.2758,0.9067,-0.08,1.05,-0.1306,-999.0,1.17,-0.1799,-0.1237,-0.5757,0.1417,-0.8544,0.1417,9.83,4078251.0,True,True,3
