No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
3437,RL,S&P 500,Consumer Cyclical,Apparel Manufacturing,USA,11750000000.0,20.84,16.41,1.54,1.78,4.56,6.12,15.13,30.03,0.0174,0.396,1.65,0.2239,0.097,0.3087,0.1355,0.0321,0.0555,0.3086,0.4097,-0.0039,0.6329,-0.0023,0.0881,0.2333,0.1164,2.17,1.54,0.96,1.07,0.6193,0.089,-0.0021,0.263,0.4608,0.5424,1.54,0.1927,-0.0352,0.7806,-0.0434,13.4078,Feb 08/b,183.7
3438,RLAY,RUT,Healthcare,Biotechnology,USA,1320000000.0,-,-,-,51.75,1.71,1.76,-,5.72,-,-,-0.75,-0.0416,0.0159,-0.3874,-,3.1982,-1.0,-0.1995,0.3058,-0.0005,0.7168,0.0146,0.1078,-0.4018,-0.4272,25.44,25.44,0.06,0.07,0.7938,-13.386,-0.0382,0.0141,0.2874,-0.3913,1.67,-0.0274,-0.4758,0.6941,-0.8434,0.6941,Feb 22/a,10.08
3439,RLGT,RUT,Industrials,Integrated Freight & Logistics,USA,268850000.0,25.78,15.76,1.05,0.3,1.3,8.18,7.64,0.7,-,0.0,0.02,-0.567,0.9995,0.2104,0.246,0.0871,-0.277,-0.7945,0.2394,0.0,0.5483,-0.0338,0.0084,0.0536,0.0431,1.5,1.5,0.23,0.29,0.1799,0.0123,-0.0104,-0.1089,-0.0683,0.0306,0.8,-0.0879,-0.2616,0.1019,-0.3444,94.5,Feb 08/a,5.73
3440,RLI,-,Financial,Insurance - Property & Casualty,USA,6770000000.0,22.42,25.84,2.29,4.52,4.79,-,14.77,-,0.0187,0.1619,1.55,0.1039,0.0525,0.358,0.098,0.138,0.1906,0.1685,0.1183,-0.0004,0.8087,-0.0062,0.0158,0.2351,0.2139,0.29,-,0.01,0.08,-,0.2034,0.0409,0.0695,0.0777,0.1267,0.38,0.0712,-0.0038,0.2231,-0.0038,585.3626,Jan 24/a,148.28
3441,RLJ,RUT,Real Estate,REIT - Hotel & Motel,USA,1840000000.0,36.76,33.34,-,1.38,0.93,3.31,10.04,3.56,0.0333,1.118,0.01,-0.2188,0.4133,-0.1914,-,0.0964,0.058,4.5556,0.0297,-0.0138,0.946,-0.0249,0.0675,0.0321,0.0117,-,-,0.84,1.0,0.1596,0.0379,-0.0126,-0.0117,0.1293,0.0569,1.7,0.0088,-0.0297,0.3112,-0.6588,2.1526,Feb 26/a,11.78
3442,RLMD,-,Healthcare,Biotechnology,USA,184810000.0,-,-,-,-,1.83,1.74,-,3.53,-,-,-0.83,0.3819,0.1929,-0.2057,-,0.0,-,0.4425,0.159,0.0372,0.5253,0.0427,0.0685,-0.8355,-1.1077,12.95,12.95,0.0,0.0,-,-,0.0791,0.6505,1.1544,0.8006,0.22,0.4654,-0.0376,2.07,-0.9233,2.3923,Nov 08/a,6.14
3443,RLTY,-,Financial,Closed-End Fund - Debt,USA,233730000.0,-,-,-,-,-,-,-,-,0.0929,-,-,-,-,-,-,-,-,-,0.0005,0.0,0.2078,-,0.0019,-,-,-,-,-,-,-,-,-0.0085,-0.0183,0.0723,-0.0478,1.06,-0.0033,-0.0663,0.2258,-0.3195,0.2258,-,13.95
3444,RLX,-,Consumer Defensive,Tobacco,China,1990000000.0,244.44,22.97,19.23,13.98,1.19,1.75,-,1.13,-,0.0,0.02,-0.622,0.5128,-,0.1271,0.8163,-0.7032,-0.6817,0.053,0.0,0.2332,-0.0261,0.0476,0.0055,0.0055,14.86,14.73,0.0,0.0,0.3946,0.0847,-0.0246,0.0879,-0.1354,0.0051,0.97,0.0328,-0.34,0.4245,-0.9434,1.1971,Nov 13/b,1.98
3445,RLYB,RUT,Healthcare,Biotechnology,USA,83890000.0,-,-,-,-,0.68,0.69,-,3.21,-,-,-0.46,0.1395,0.0635,-,-,0.0,-,0.2406,0.5444,0.0,0.3684,0.0049,0.0626,-0.552,-0.5697,14.08,14.08,0.0,0.0,-,-,0.2333,0.5857,-0.0348,-0.7157,-1.69,0.1555,-0.7752,0.8122,-0.9139,0.8122,Nov 09/b,2.22
3446,RM,RUT,Financial,Credit Services,USA,225750000.0,14.07,3.61,0.59,0.41,0.7,1.75,0.92,13.18,0.0519,0.7214,0.88,1.3961,0.6116,-0.1068,0.24,0.1256,0.073,-4.1586,0.0836,0.0082,0.7409,-0.0241,0.0289,0.0506,0.0122,-,-,3.04,4.44,0.9735,0.0289,0.0377,-0.1066,0.0674,-0.2706,1.47,-0.0608,-0.3315,0.1282,-0.6578,1.2401,Feb 07/a,23.13
