No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
4101,USA,Financial,Closed-End Fund - Equity,USA,1790000000.0,6.73,-,-,71.91,1.03,-,-,-,0.0135,0.104,-,0.16,-,-,-,-,0.0393,-0.0625,0.1744,-0.5186,1.8821,6.6
4102,USAC,Energy,Oil & Gas Equipment & Services,USA,2490000000.0,169.32,46.13,-,3.07,-,0.0,0.465,0.0531,-0.0826,0.2431,-0.0106,4.54,0.1997,0.66,10.11,0.0185,0.037,-0.0594,0.3707,-0.1183,6.196,25.33
4103,USAP,Basic Materials,Steel,USA,173800000.0,-,11.95,-,0.66,0.78,0.02,-,-0.0368,0.0,0.6018,-0.013,0.45,-0.0063,1.02,0.4,-0.0054,0.0508,-0.0808,1.5258,-0.647,4.8831,19.12
4104,USB,Financial,Banks - Regional,USA,63590000000.0,12.47,9.3,2.08,1.57,1.31,-,-0.0462,0.118,-0.0303,0.7785,-0.0066,2.58,0.1019,-,1.21,0.1269,-0.0166,-0.1799,0.4976,-0.3576,70.3367,40.84
4105,USCB,Financial,Banks - Regional,USA,234960000.0,14.31,10.04,-,2.17,1.28,-,-,0.2335,0.0013,0.3565,0.0091,0.86,0.0884,-,0.95,0.1526,-0.0021,-0.084,0.4019,-0.36,0.4019,12.0
4106,USCT,Financial,Shell Companies,USA,86730000.0,79.86,-,-,-,4.28,0.01,-,0.0,0.0,0.2585,0.8116,0.01,0.0255,0.18,0.02,-,0.018,-0.035,0.0606,-0.035,0.1279,11.02
4107,USFD,Consumer Defensive,Food Distribution,USA,11600000000.0,26.67,14.63,1.26,0.33,2.48,1.41,-0.1251,0.0997,-0.6257,0.9965,-0.0017,1.95,0.0988,0.81,1.04,0.0124,0.0485,-0.0022,0.3899,-0.0059,4.6731,47.2
4108,USLM,Basic Materials,Building Materials,USA,1430000000.0,20.86,-,-,5.2,3.77,30.93,0.1048,0.1342,-0.0015,0.2702,0.0033,1.31,0.1984,13.91,0.01,0.2495,0.1016,-0.0565,0.7658,-0.0565,103.5189,250.02
4109,USM,Communication Services,Telecom Services,USA,3730000000.0,297.76,46.53,27.57,0.94,0.81,2.18,0.2003,0.0125,0.0,0.1807,-0.0188,7.01,0.0028,1.18,0.85,0.0033,0.0264,-0.0951,2.1806,-0.5933,3.0107,43.86
4110,USNA,Consumer Defensive,Packaged Foods,USA,903510000.0,15.28,16.23,1.02,0.97,1.92,16.05,0.0726,-0.0378,-0.0006,0.5564,-0.0269,2.77,0.1357,2.94,0.0,0.0645,-0.0489,-0.3214,0.0732,-0.6576,214.9086,47.23
4111,USPH,Healthcare,Medical Care Facilities,USA,1410000000.0,55.15,32.54,5.52,2.39,2.87,9.85,0.0506,0.0568,-0.0374,1.0326,-0.0317,9.88,0.0586,2.77,0.53,0.0401,0.0282,-0.2396,0.2086,-0.3644,66.6158,94.37
4112,UTF,Financial,Closed-End Fund - Equity,USA,2130000000.0,-,-,-,17.33,0.95,-,-,-,-,0.1758,-,0.08,-,-,-,-,0.0294,-0.1479,0.2198,-0.2549,2.4278,22.14
4113,UTHR,Healthcare,Biotechnology,USA,10030000000.0,11.76,9.61,1.21,4.55,1.76,61.19,0.1,0.0497,-0.0602,0.9437,0.0106,3.64,0.1752,4.51,0.14,0.4082,-0.0669,-0.1878,0.0439,-0.2461,48.9205,213.41
4114,UTI,Consumer Defensive,Education & Training Services,USA,773710000.0,129.85,18.23,8.66,1.27,3.08,2.92,-,0.1535,-0.0057,0.7509,-0.0014,3.24,0.0406,1.11,1.55,0.0064,0.1475,-0.0649,1.5577,-0.683,9.1401,14.4
4115,UTL,Utilities,Utilities - Diversified,USA,788900000.0,17.76,16.74,4.23,1.34,1.64,0.37,0.0471,0.0657,0.0,0.7585,-0.017,2.59,0.0942,0.59,1.36,0.075,-0.0278,-0.1913,0.1827,-0.2548,6.5021,49.0
4116,UTMD,Healthcare,Medical Instruments & Supplies,USA,279440000.0,16.83,-,-,5.56,2.18,25.58,-0.0157,0.0411,0.0,0.7141,-0.0872,1.97,0.1372,20.82,0.0,0.3312,-0.0711,-0.2347,0.0264,-0.4144,128.7928,76.98
4117,UTZ,Consumer Defensive,Packaged Foods,USA,1510000000.0,89.94,28.49,5.84,1.05,2.14,0.74,-,0.1043,0.0011,0.862,-0.02,7.76,0.0249,1.06,1.42,0.0122,0.2042,-0.027,0.6643,-0.3822,0.9475,18.59
4118,UUUU,Energy,Uranium,USA,1250000000.0,12.17,-,-,33.33,3.29,0.78,0.005,0.5796,-0.003,0.4813,0.1026,8.12,0.3212,22.49,0.0,2.7116,0.0347,-0.138,0.6041,-0.9961,8.9744,7.78
4119,UVE,Financial,Insurance - Property & Casualty,USA,482510000.0,7.05,9.74,-,0.36,1.6,-,-,0.1045,-0.0176,0.7046,0.0075,2.29,0.2559,-,0.38,0.0534,0.001,-0.1732,0.4936,-0.658,-,16.53
4120,UVSP,Financial,Banks - Regional,USA,600820000.0,8.46,10.13,2.11,1.35,0.72,-,0.0703,0.1257,0.0013,0.7361,-0.0108,2.13,0.088,-,0.6,0.1595,-0.0138,-0.2991,0.2646,-0.4778,1.9954,20.36
4121,UVV,Consumer Defensive,Tobacco,USA,1450000000.0,12.14,-,-,0.55,1.05,4.06,0.0372,0.0547,-0.0156,0.8393,-0.0176,2.16,0.0896,0.92,0.69,0.0459,-0.0234,-0.1291,0.33,-0.2915,10.0817,59.05
4122,UWMC,Financial,Mortgage Finance,USA,662110000.0,-,21.66,-,0.32,5.02,7.79,-,-0.1376,0.0046,0.4402,-0.01,13.37,0.0991,-,63.77,0.0065,0.1024,-0.0485,0.7414,-0.5083,1.4894,7.07
4123,V,Financial,Credit Services,USA,556170000000.0,32.41,24.83,2.44,16.68,14.59,10.7,0.138,0.0998,-0.0005,0.7757,0.0072,5.21,0.4618,1.45,0.52,0.5307,0.0605,-0.01,0.3277,-0.01,25.5371,277.18
4124,VABK,Financial,Banks - Regional,USA,168620000.0,8.77,-,-,2.13,1.1,-,0.0257,0.2269,0.0,0.3903,-0.0324,2.75,0.1345,-,0.52,0.2436,-0.129,-0.2711,0.258,-0.3892,2.0624,31.4
4125,VAC,Consumer Cyclical,Resorts & Casinos,USA,2990000000.0,11.44,10.71,-,0.63,1.25,14.16,0.0039,0.1643,0.0022,0.8335,-0.0571,4.26,0.122,-,2.15,0.065,0.0123,-0.4932,0.155,-0.5598,4.3371,84.06
4126,VAL,Energy,Oil & Gas Equipment & Services,Bermuda,4450000000.0,77.8,14.77,-,2.57,3.77,14.5,-,0.0157,-0.4089,0.8722,0.1186,5.09,0.0495,2.28,0.93,0.0343,-0.0894,-0.237,0.1277,-0.237,2.0143,61.04
4127,VALE,Basic Materials,Other Industrial Metals & Mining,Brazil,57190000000.0,6.31,5.14,-,1.41,1.51,0.94,0.3041,0.0631,0.0,0.1763,-0.0416,2.29,0.2618,0.7,0.37,0.2291,-0.1064,-0.2449,0.1051,-0.545,10.5225,13.29
4128,VAQC,Financial,Shell Companies,USA,171870000.0,63.91,-,-,-,7.15,0.01,-,0.0,0.0,0.2474,0.9431,0.1,0.0313,0.12,0.03,-,0.0025,-0.1088,0.057,-0.1088,0.1022,10.57
4129,VATE,Industrials,Engineering & Construction,USA,80020000.0,-,-,-,0.05,-,0.7,0.1459,0.0624,0.0,0.327,-0.0723,27.42,-,0.96,-,-0.0238,-0.071,-0.7139,0.2229,-0.9239,0.5833,1.01
4130,VBF,Financial,Closed-End Fund - Debt,USA,178700000.0,782.5,-,-,18.12,0.99,-,-,-,-,0.4407,-,0.64,-,-,-,-,0.0106,-0.0734,0.144,-0.2613,0.6677,15.65
4131,VBFC,Financial,Banks - Regional,USA,63640000.0,33.27,-,-,1.91,0.95,-,-0.0876,0.048,0.0003,0.145,-0.0126,1.04,0.0298,-,0.88,0.0577,0.0138,-0.3299,0.1918,-0.9297,3.4057,43.0
4132,VBNK,Financial,Banks - Regional,Canada,288680000.0,9.56,5.85,-,1.64,1.1,-,0.1476,0.2547,0.0,0.236,-,0.78,0.1182,-,0.29,0.173,0.1199,-0.033,0.7471,-0.2224,2.1475,11.12
4133,VBTX,Financial,Banks - Regional,USA,1100000000.0,10.18,8.84,1.45,1.41,0.72,-,0.0436,0.4865,0.001,0.8741,-0.051,8.51,0.0726,-,0.22,0.1396,-0.0742,-0.3224,0.3548,-0.5556,1.012,20.16
4134,VC,Consumer Cyclical,Auto Parts,USA,3310000000.0,22.09,13.24,0.8,0.82,4.58,17.44,-0.025,0.0737,-0.0416,1.0124,-0.036,2.53,0.2408,1.38,0.63,0.0382,-0.0164,-0.3074,0.0943,-0.3074,6.5911,118.9
4135,VCEL,Healthcare,Biotechnology,USA,2050000000.0,-,352.22,-,11.05,10.01,2.69,0.0738,0.1652,-0.266,1.0902,-0.0199,4.72,-0.0537,4.83,0.42,-0.0554,0.1589,-0.0391,0.5362,-0.973,24.3787,42.89
4136,VCSA,Technology,Software - Application,USA,116160000.0,-,-,-,0.1,0.63,25.19,-,0.572,-0.1751,0.1799,2.0314,9.15,-1.4563,0.79,0.14,-0.361,0.2014,-0.7656,0.3822,-0.9576,0.3822,9.33
4137,VCTR,Financial,Asset Management,USA,2270000000.0,11.29,6.82,-,2.72,2.1,1.64,0.5888,0.2148,0.0,0.4404,0.0099,2.92,0.1962,-,0.93,0.2521,0.0206,-0.0327,0.238,-0.2033,3.7221,34.33
4138,VCV,Financial,Closed-End Fund - Debt,USA,466930000.0,73.86,-,-,19.37,0.9,-,-0.435,-0.179,-,0.102,0.0135,0.07,0.012,-,0.66,0.262,0.013,-0.0705,0.2112,-0.421,0.5931,9.75
4139,VCXB,Financial,Shell Companies,USA,141660000.0,-,-,-,-,6.75,0.05,-,0.0,0.0,0.2963,0.0795,1.42,-0.0079,0.15,0.0,-,0.0083,-0.0009,0.055,-0.0372,0.1061,10.74
4140,VCYT,Healthcare,Biotechnology,USA,1810000000.0,-,-,-,5.29,1.72,2.77,0.1097,0.3759,0.0,1.0557,0.0036,4.07,-0.0475,4.46,0.01,-0.1456,-0.0668,-0.1864,0.272,-0.7114,4.8979,24.83
4141,VECO,Technology,Semiconductor Equipment & Materials,USA,1830000000.0,33.02,18.33,-,2.84,2.84,5.09,-,0.0622,-0.0774,1.0368,-0.0013,12.11,0.1417,1.69,0.48,0.119,0.0783,-0.0466,0.8379,-0.7339,9.1025,32.53
4142,VEEV,Healthcare,Health Information Services,USA,33300000000.0,59.4,37.12,4.26,14.5,7.6,24.48,0.25,0.2588,-0.0066,0.8306,-0.0107,1.72,0.1454,5.64,0.01,0.2468,0.0899,-0.0829,0.2908,-0.3988,11.0865,206.8
4143,VEL,Financial,Mortgage Finance,USA,507760000.0,12.42,9.98,-,1.62,1.22,1.44,0.0594,0.1955,0.0,0.6031,0.0015,19.42,0.1091,-,8.64,0.1362,-0.002,-0.1418,0.9834,-0.1418,5.9149,15.49
4144,VEON,Communication Services,Telecom Services,Netherlands,1420000000.0,-,-,-,0.38,1.33,34.29,-,-0.1746,0.0,0.2145,-0.3295,1.13,1.1228,0.97,4.55,0.3368,0.0299,-0.0657,0.4161,-0.981,2.3633,20.18
4145,VERA,Healthcare,Biotechnology,USA,1740000000.0,-,-,-,-,14.06,3.6,-,0.0,-0.0522,0.6619,0.0217,6.31,-0.8959,6.64,0.24,-,1.2498,-0.0079,5.5798,-0.0119,6.5288,39.15
